name,position
Anahit Avanesyan,Minister of Health
Ararat Mirzoyan,Minister of Foreign Affairs
Armen Pambukhchyan,Minister of Emergency Situations
Gnel Sanosyan,Minister of Territorial Administration and Infrastructures
Hakob Simidyan,Minister of Environment
Karen Andreasyan,Minister of Justice
Narek Mkrtchyan,Minister of Labor and Social Affairs
Robert Khachatryan,Minister of High-Tech Industry
Suren Papikyan,Minister of Defense
Tigran Khachatryan,Minister of Finance
Vahan Kerobyan,Minister of Economy
Vahram Dumanyan,"Minister of Education, Science, Culture and Sport"
