item,itemLabel,startDate,endDate
Q769877,Janik Janoyan,1990-09-18,1993-02-16
Q4078776,Levon Barkhudaryan,1993,1997
Q681530,Armen Darbinyan,1997-05-15,1998-04-10
Q4407546,Edward Sandoyan,1998-04-20,1999-06-15
Q4078776,Levon Barkhudaryan,1999-06-15,2000-11-11
Q4496712,Vardan Khachatryan,2000-11-11,2008-04-09
Q4153681,Tigran Davtyan,2008-04-21,2010-12-17
Q7907998,Vache Gabrielyan,2010-12-17,2013-04-09
Q4408655,Davit Sargsyan,2013-05-09,2014-04-26
Q13052485,Gagik Khachatryan,2014-04-26,2016-09-20
Q21209929,Vartan Aramyan,2016-09-20,2018-05-12
Q21212607,Atom Janjughazyan,2018-05-12,2021-08-02
,Tigran Khachatryan,2021-08-02,""
