@@,itemlabel,item,startdate,enddate
+++,Babken Ararktsyan,Q4018418,1995-07-27,1998-02-04
+++,Khosrov Harutyunyan,Q1975237,1998-02-04,1999-06-11
+++,Karen Demirchyan,Q1729248,1999-06-11,1999-10-27
+++,Armen Khachatryan,,1999-11-02,2003-06-12
+++,Artur Baghdasaryan,Q708540,2003-06-12,2006-06-01
+++,Tigran Torosyan,Q4461264,2006-06-01,2008-09-26
+++,Hrayr Karapetyan (acting) (born 1964),,2008-09-26,2008-09-29
+++,Hovik Abrahamyan,Q2633067,2008-09-29,2011-11-21
+++,Samvel Nikoyan,Q3249851,2011-12-06,2012-05-31
+++,Hovik Abrahamyan,Q2633067,2012-05-31,2014-04-13
+++,Galust Sahakyan,Q4403355,2014-04-29,2017-05-18
->,Ara Babloyan,Q4074471,2017->2017-05-18,2018->2019-01-14
