@@,itemlabel,item,startdate,enddate
+++,Vahe Stepanyan,Q4442021,1990-11,1996-02
+++,Marat Aleksanian,Q4061574,1996-02,1998
->,Davit Harutyunyan->David Harutyunyan,Q4070525,1998,2007->2007-05
+++,Gevorg Danielyan,,2007-05,2010-12-09
+++,Hrayr Tovmasyan,,2010-12-17,2014-04-03
+++,Hovhannes Manukyan,,2014-04-30,2015-07-14
+++,Arpine Hovhannisyan,Q21212025,2015-09-04,2017
+++,David Harutyunyan,Q4070525,2017,2018
->,Artak Zeynalyan,Q4190200,2018-05-12->2018,2019-06-07->2019-03
->,Rustam Badasian,Q64743167->NULL,2019-03,2021-08-03
->,Karen Andreasyan,Q6369479,2021-08-02->2021-08-03,
