item,itemLabel,startDate,endDate,sourceDate,psid
Q4070525,Davit Harutyunyan,1998,2007,,Q4070525-7FDFAC35-C1BF-46D9-B03C-518BCC30D7C2
Q21212025,Arpine Hovhannisyan,2015-09-04,2017,,Q21212025-7C11F991-7E56-4BF1-9A50-A63E76CC157E
Q4070525,Davit Harutyunyan,2017,2018,,Q4070525-E3A1D5F2-3E12-4AA8-913C-0CD9D17DDE99
Q4190200,Artak Zeynalyan,2018-05-12,2019-06-07,,Q4190200-64BA444A-2D50-4596-8371-7A2E1E2BE201
Q64743167,Rustam Badasian,2019-03,2021-08-03,2021-10-27,Q64743167-DD3F7308-DB0C-46AA-9AF7-3E36123E7FC2
Q6369479,Karen Andreasyan,2021-08-02,,,Q6369479-58A0D238-89DD-42D9-B82D-ABD4FF3D3135
